Task,comment,inline,javadoc,multiline
code completion,0.5498004425313419,0.3618830381782612,0.4011940918377952,0.20080743492216707
code documentation,0.5759618021884185,0.38399723115397055,0.3509786757640938,0.17865001322982513
code refactoring,0.5838489787820702,0.3731067996882951,0.3587221658618112,0.2102532612725606
code review,0.6468169103769731,0.38137309002089737,0.41332547713360124,0.22990707804604507
code summarization,0.6337689301424836,0.6441032665611243,0.4683144271686714,0.5125083169876874
code translation,0.5778293685263824,0.4948034858650232,0.33788263096101767,0.21548944272166065
fault localization,0.6184429139477075,0.5097933329991795,0.4382800003807175,0.20899210472108082
program repair,0.6004911626190853,0.3912107023641844,0.3795971426341197,0.15618744964562128
test generation,0.5479793436062861,0.3827445088919773,0.3440438918843415,0.28503575645378987
vulnerability detection,0.6357323979210803,0.496712203660225,0.4278209264564178,0.38357972345383523
