Task,comment,inline,javadoc,multiline
code completion,0.42647657819856666,0.4889329303993145,0.4737784871409015,0.2487131167223362
code documentation,0.4513631437603254,0.506997210889249,0.45018167346930626,0.29869268071479194
code refactoring,0.3623148048975161,0.6229268555519651,0.39710711212649213,0.29226020481236004
code review,0.49390625907616403,0.7183672519814952,0.4702431117927665,0.46870267244081243
code summarization,0.25033393959627354,0.5828191710767019,0.49802003826532737,0.5533093842156106
code translation,0.41718380077488765,0.6017278020767505,0.3851698607696816,0.4629146292576546
fault localization,0.44987245294526296,0.5948252606147821,0.5058150188617405,0.3683408975737835
program repair,0.3287601667266439,0.5873639276562941,0.4255723121776966,0.3120929124482049
test generation,0.48657184056694636,0.6667969948203103,0.46053497331973414,0.43852559241482125
vulnerability detection,0.5320906653580008,0.6112369527543372,0.4843415490571844,0.3975671038645864
