Task,comment,inline,javadoc,multiline
code completion,0.67 / 0.43 / 0.55,0.44 / 0.49 / 0.36,0.52 / 0.47 / 0.4,0.26 / 0.25 / 0.2
code documentation,0.75 / 0.45 / 0.58,0.54 / 0.51 / 0.38,0.86 / 0.45 / 0.35,0.32 / 0.3 / 0.18
code refactoring,0.8 / 0.36 / 0.58,0.57 / 0.62 / 0.37,0.63 / 0.4 / 0.36,0.38 / 0.29 / 0.21
code review,0.83 / 0.49 / 0.65,0.78 / 0.72 / 0.38,0.82 / 0.47 / 0.41,0.5 / 0.47 / 0.23
code summarization,0.7 / 0.25 / 0.63,0.79 / 0.58 / 0.64,0.8 / 0.5 / 0.47,0.56 / 0.55 / 0.51
code translation,0.75 / 0.42 / 0.58,0.51 / 0.6 / 0.49,0.56 / 0.39 / 0.34,0.51 / 0.46 / 0.22
fault localization,0.77 / 0.45 / 0.62,0.36 / 0.59 / 0.51,0.35 / 0.51 / 0.44,0.27 / 0.37 / 0.21
program repair,0.75 / 0.33 / 0.6,0.49 / 0.59 / 0.39,0.5 / 0.43 / 0.38,0.29 / 0.31 / 0.16
test generation,0.79 / 0.49 / 0.55,0.62 / 0.67 / 0.38,0.6 / 0.46 / 0.34,0.61 / 0.44 / 0.29
vulnerability detection,0.79 / 0.53 / 0.64,0.36 / 0.61 / 0.5,0.33 / 0.48 / 0.43,0.43 / 0.4 / 0.38
