id,commented_em,commented_em_trim,commented_bleu,commented_bleu_trim,comments_removed_em,comments_removed_em_trim,comments_removed_bleu,comments_removed_bleu_trim
8874,1,1,100.0,100.0,0,0,97.1021086109901,97.1021086109901
7328,0,0,80.24802266451192,80.24802266451192,0,0,81.01931872345922,81.01931872345922
8251,1,1,100.0,100.0,0,0,10.17197444209964,10.17197444209964
10924,0,0,33.28280901405712,86.00064158046546,0,0,29.61397897392017,67.47703635388686
7305,0,0,86.48763626135498,86.43168437632532,0,0,72.70285131373734,72.70285131373734
12046,0,1,97.63220382716179,97.63220382716179,0,0,72.86992928496367,70.91061824373985
8546,0,0,84.47725451257492,84.47725451257492,0,0,73.60765349760065,73.60765349760065
8136,1,1,100.0,100.0,0,0,71.8150621327839,71.8150621327839
4499,0,0,89.47547541105097,89.47547541105097,0,0,84.59384802632354,84.59384802632354
9852,0,0,67.12281306574454,78.66278610665535,0,0,40.74068348261366,40.74068348261366
7923,1,1,100.0,100.0,0,0,83.9722531473462,83.9722531473462
7294,0,0,92.3423249018957,92.3423249018957,0,0,59.21876177662164,59.21876177662164
11847,0,1,98.31190049157489,100.0,0,0,88.76447420148163,88.68720569820783
9878,1,1,100.0,100.0,0,0,89.14375869458357,89.14375869458357
12476,0,0,18.81282469595072,88.38768463550748,0,0,14.144737457900646,83.4117703525815
4712,0,0,71.03357996186716,71.03357996186716,0,0,71.03357996186716,71.03357996186716
8201,1,1,100.0,85.29188173702603,0,0,70.46847942533017,70.46847942533017
4509,0,0,62.80318947767491,62.80318947767491,0,0,56.858301547869004,56.858301547869004
12314,0,0,96.07040874505255,96.07040874505255,0,0,59.21146226852613,59.21146226852613
12420,0,0,87.25848852039434,87.26983263713154,0,0,74.83736248688159,74.83736248688159
12416,0,0,54.33538842128329,67.2209711075531,0,0,56.565048812165664,56.565048812165664
6861,0,0,63.39101165241055,72.6847162938147,0,0,75.12291309792477,75.12291309792477
4491,0,1,99.13227576929424,100.0,0,0,23.591585374221943,23.591585374221943
12513,1,1,100.0,100.0,0,0,49.99586368525379,49.99586368525379
10144,1,1,100.0,100.0,0,0,94.30819286591114,94.30819286591114
10145,1,1,100.0,100.0,0,0,66.41681228172513,66.41681228172513
8440,0,0,80.90194032538616,80.90194032538616,0,0,40.966193024988435,31.85986728500988
4507,0,0,60.100936074466425,60.100936074466425,0,0,57.227751015099216,57.227751015099216
10920,0,0,83.41432379467119,84.73579556307011,0,0,16.768937214047696,16.20916570056764
10227,0,0,95.97373988977618,95.97373988977618,0,0,75.0882992216058,75.0882992216058
8464,0,1,80.90019591172725,100.0,0,0,53.64421981117214,53.64421981117214
1643,0,0,95.24847854498196,95.24847854498196,0,0,77.52362508855212,77.52362508855212
7295,0,0,63.80540546841903,64.27718219337652,0,0,60.58354174153118,60.53514300490177
8166,1,1,100.0,100.0,0,0,72.20065065608833,72.20065065608833
13517,0,0,49.382256212474104,84.16465796189183,0,0,43.7979502797523,69.67067090746364
9879,0,1,98.5962986531924,100.0,0,0,81.34843024854828,81.34843024854828
4522,0,0,21.614355200508395,50.64356858241496,0,0,22.001088424555135,54.935264310308426
7089,0,0,56.360084842097145,56.360084842097145,0,0,40.77783060270155,34.74064539486775
8489,0,1,97.38436142790844,100.0,0,0,57.59127924604264,57.59127924604264
12432,1,1,100.0,100.0,0,0,61.97325966752608,61.97325966752608
8502,1,1,100.0,100.0,0,0,84.50111766153346,84.50111766153346
11843,1,1,100.0,100.0,0,0,99.34316595150848,100.0
7336,0,0,96.59532317701091,97.54008278719402,0,0,68.54939896534505,68.54939896534505
9857,0,0,84.78353174365405,85.36725837352252,0,0,81.32134269306992,81.97064332580452
10113,0,0,91.70599370826744,91.70599370826744,0,0,75.15628295063922,75.15628295063922
4542,0,0,92.37247831372927,92.37247831372927,0,0,92.37247831372927,92.37247831372927
7922,0,0,61.68542706097636,65.75557843594325,0,0,61.842559180053705,61.842559180053705
9796,0,0,23.036814459667646,70.06375037967472,0,0,18.318625507844942,18.318625507844942
14783,0,0,100.0,100.0,0,0,93.09280570981578,93.05308958112056
12522,1,1,100.0,100.0,0,0,87.307619204775,87.307619204775
4487,0,0,86.14230501118193,98.9389091151448,0,0,82.73303550749321,84.4703429619215
7090,0,0,76.24827168205218,76.24827168205218,0,0,68.07353968934352,68.03161744346178
9855,0,0,95.88611940969724,95.88611940969724,0,0,75.6226138606612,67.08512504366219
8876,0,0,70.2876302057643,70.2876302057643,0,0,55.1725668798403,55.1725668798403
8576,0,1,98.915900701957,93.33588643117227,0,0,84.70059708441666,84.70059708441666
8438,1,1,100.0,100.0,0,0,41.59488502309768,41.59488502309768
11809,1,1,100.0,100.0,0,0,13.53352832366127,13.53352832366127
10143,0,0,70.4791531544992,97.46524339286456,0,0,74.03710265081567,74.03710265081567
12985,0,1,98.51278194730817,100.0,0,0,57.95782787848095,57.95782787848095
7098,0,0,72.8665758580196,58.23172708961856,0,0,53.04762075164372,55.31331053203197
7318,0,0,95.44639010501291,95.44639010501291,0,0,82.61817505057,82.61817505057
8203,0,0,90.59997533265114,90.59997533265114,0,0,72.68809767326002,71.21552139809071
8535,0,1,98.75375950494862,89.62023619688662,0,0,94.31894963692112,94.30819286591114
8344,1,1,100.0,100.0,0,0,81.90795951487289,74.08182206817179
7332,0,0,85.13667744914983,85.13667744914983,0,0,75.40541095280663,75.40541095280663
9955,0,0,52.96091200768137,52.96091200768137,0,0,20.527481643495182,20.527481643495182
11893,0,0,93.27371372456527,93.27371372456527,0,0,62.05099685284679,61.75730394488143
4464,0,0,67.08874945813528,67.08874945813528,0,0,38.06711416458123,38.06711416458123
6706,0,0,70.9220406518532,72.08016346809144,0,0,61.290241018056655,61.290241018056655
8439,0,0,87.90721727403186,83.58826899203987,0,0,38.29843860404207,43.652339085994804
4493,0,0,89.64352655546767,89.64352655546767,0,0,79.53730475020623,79.53730475020623
12313,1,1,100.0,100.0,0,0,67.71192276576465,67.71192276576465
10133,0,0,90.00226485374522,90.00226485374522,0,0,64.87844806299326,56.86862189948053
8393,0,0,97.30363487487055,98.05649860235522,0,0,85.87175391525935,85.61338291734505
11796,0,0,37.47947041899668,53.45788430169329,0,0,31.174465267979805,31.174465267979805
4547,0,0,39.1930655432472,39.1930655432472,0,0,37.52835441336919,47.06751402072955
4720,1,1,100.0,100.0,0,0,83.64643072929833,83.64643072929833
9813,0,1,99.13227576929424,100.0,0,0,66.36663549378648,66.36663549378648
4528,0,0,52.970981409291326,66.88090826762823,0,0,67.58926815489303,70.133958049387
4715,0,0,70.82127918972553,70.82127918972553,0,0,61.54953257059928,61.30691062599
8771,1,1,100.0,93.10627797040229,0,0,26.615473738396446,26.615473738396446
